composer,title,date,minutes,key,keyType,sharpsOrFlats,max_p_accidentals,max_partRange,tempo,timeSig,compoundMeter,meterChanges,noteDensity,p_shortestDuration,p_fastNotes,avgNumVoices,nParts,partList,strings,keys,woodwinds,percussion,brass,voice,filename,midiFileName,spotifyID
Adam de la Halle,Fi Maris de vostre Amour,None,0.23,e minor,minor,1,0.28,9,80.0,"[3, 4]",0,0,3.76,0.125,0.125,3.0,3,"['Voice', 'Voice', 'Voice']",0,0,0,0,0,1,adam_fimaris.krn,adam_fimaris.mid,0XKQIVQ97pPTJg2uDEivD4
"Alkan, Charles-Valentin","Fa, Op. 38, No. 2",None,2.94,d minor,minor,1,0.26,36,72.0,"[3, 8]",0,0,11.78,0.001,0.69,2.88,3,"['Piano', 'Piano', 'Piano']",0,1,0,0,0,0,alkan_02-fa_edited.krn,alkan_02-fa_edited.mid,3jS5RqvjbgnThgzu9iqDD8
"Bach, Johann Sebastian",Movement 1: Allemande,None,1.32,d minor,minor,1,0.2,30,94.0,"[4, 4]",0,0,6.82,0.13703703703703704,0.9888888888888889,1.0,1,['Violin'],1,0,0,0,0,0,bach_partita2-1.krn,bach_partita2-1.mid,2shAgoNd95hE6pAjAxxor7
"Bach, Carl Philipp Emanuel",La Gause,None,0.51,F major,major,1,0.22,26,110.00000000000001,"[2, 4]",0,0,5.99,0.042682926829268296,0.3902439024390244,1.69,2,"['Piano', 'Piano']",0,1,0,0,0,0,bachcpe_Wq117-37_edited.krn,bachcpe_Wq117-37_edited.mid,0LSMmwJL5Nym0L7Vxt2FeH
"Beethoven, Ludwig van",Piano Sonata no. 8 in C minor,None,3.65,A- major,major,4,0.73,45,40.0,"[2, 4]",0,0,5.47,0.03536977491961415,0.40943193997856375,1.56,2,"['Piano', 'Piano']",0,1,0,0,0,0,beethoven_sonata08-2.krn,beethoven_sonata08-2.mid,14YeWgIwIqyFnHuOkd7fyP
"Bononcini, Giovanni",For the love my heart doth prize,None,3.9,D major,major,2,0.28,29,80.0,"[3, 4]",0,0,4.7,0.01182033096926714,0.04018912529550828,2.0,3,"['Voice', 'Piano', 'Piano']",0,1,0,0,0,1,bononcini_perlagloria.krn,bononcini_perlagloria.mid,2PhaOWw5VeChQCJcDBXpfD
"Brahms, Johannes","Waltz in E Major, Op.39 No.2",None,0.46,E major,major,4,0.58,31,172.0,"[3, 4]",0,0,6.65,0.2222222222222222,0.2222222222222222,0.42,3,"['Piano', 'Piano', 'Piano']",0,1,0,0,0,0,brahms_op39-02_edited.krn,brahms_op39-02_edited.mid,5mwWvvJa6IubcMr4QzaFVu
"Buxtehude, Dietrich","Sonata in A Minor, Op. 1, No. 3",None,1.17,a minor,minor,0,0.14,24,72.0,"[4, 4]",0,0,3.79,0.042704626334519574,0.042704626334519574,2.4,3,"['Violin', 'Viola', 'Harpsichord']",1,1,0,0,0,0,buxtehude_op1-3-1.krn,buxtehude_op1-3-1.mid,3xBWKAOczzfaLalXRzxntl
"Byrd, William",Ave verum corpus,None,2.0,a minor,minor,0,0.1,19,120.0,"[4, 4]",0,0,5.04,0.007598784194528876,0.13829787234042554,3.26,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,byrd_aveverum.krn,byrd_aveverum.mid,7J6b58JOnf4RGGqJmxq0bD
"Chopin, Frederic",Scherzo in B-flat Minor,None,7.81,C# major,major,7,0.77,65,300.0,"[3, 4]",0,0,10.09,0.09689823122276339,0.8956677774929506,1.35,2,"['Piano', 'Piano']",0,1,0,0,0,0,chopin_scherzo2.krn,chopin_scherzo2.mid,6OwavBgVS1N4lAXZ2zKUfc
